标题,户型,租房方式,房屋大小,房屋朝向,楼层,区县,小区名称,地址,房租,地铁,房屋配置,房屋描述
东八区 世纪大道  奥特莱斯 水发 药谷 火炬东第精装两室,2室2厅1卫,整租,89,南北,高层 / 18层,历城,火炬东第,历城唐冶 - 唐冶西路1177号,1600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",·精装出租，全套家具家电齐全，拎包即住、省心省时省力1、中心地段，采光好，景观也非常棒！2、房间精装修，非常干净，状态非常好。3、配套：空调，床，衣橱，沙发，冰箱，电视，洗衣机，热水器等家具家电都有，满足日常生活所需.4、生活方利，出行便利，115、158、163、136、301等多路公交车。5、照片仅供参考！如果有兴趣可以给我打电话，带您看一下真实的房子！个人介绍业务范围：和润幸福城、恒大名都、鲁商凤凰城、唐官小区、绿地城、火炬东第、银丰唐郡、华夏帝苑、唐城小区、东岸嘉园、雍景豪庭、保利花园、永大颐和园等租赁与买卖业务！并于周围知名开发商一手房二手房合作，有需要请致电24服务.公共设施齐全，治安稳定，邻里亲善，入住率高，看房随时打电话，您拨进来的电话为虚假号码，不用担心泄露个人信息。
贤文花园南区 会展中心 丁豪广场 万达广场 三庆财富 可月付,4室2厅2卫,合租 - 次卧,18,南,中层 / 29层,高新,贤文花园(南区),高新国际会展中心 - 康虹路,550,距离地铁R3号线丁家庄站1575米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']","您给我们一个机会——我们给您一个温馨的家!无线宽带、衣柜、大床、电脑桌、晾衣架、空调、24*热水器、暖气、冰箱、洗衣机、厨房可做饭。交通便利,楼下就是公交车站点.直达各大繁华区域,门口小吃城居多,省时吃美食！房间各项基础设配齐全,不*嘘、房间至少干净卫生,每周保洁打扫、师傅上门免费维修.省心小区覆盖：高新区：齐鲁软件园，奥体中心，龙奥大厦，玉兰广场，银丰财富广场，海信龙奥九号，万科金域中心，汉峪金谷，旅游路，经十路，东城逸家，中国重汽1956，舜奥华府，德润天玺，奥林逸城，南湖北湖，凤凰国际，中铁逸都，雅居园，草山岭各小区精装好房源！附近更多雷同房源"
无中介 能月付短租 主卧独卫汉峪金谷舜泰广场  凤凰旅游路,3室2厅2卫,合租 - 主卧,35,南,低层 / 33层,高新,凤凰国际北区,"高新经十路高新段 - 凤凰路,近旅游北路",1050,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",无~中~介~费我们知道您需要什么样的房源，合理的价格，舒适的环境，步行的距离，好相处的室友，当您有问题时随时都能出面解决的专业管家。您需要的的正是我们在努力。房源描述】次卧，实体墙隔音，空调，24h热水，朝阳，采光好。专业售后，专业保洁，室友好相处【房源优势】步行到汉峪金谷，龙奥大厦，附近房源重汽1956，凤凰国际，德润天玺，东城逸家【我们对租客的要求】一，可养小型宠物，二，不讲究公共卫生不租，三，吵闹不租对租客的严格要求，只为大家创造一个更舒适的环境
整租 | 龙湖冠寓 洪家楼商圈 押一付一 精装公寓 无中介,1室0厅1卫,整租,30,南,高层 / 6层,历城,东环国际广场,历城二环东路 - 二环东路3966号,1700,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '衣柜', '宽带']",支付无压力：可押一付一，支持信用卡。重磅特惠：龙湖冠寓花园路店可开具正规票据，可申请政府租房补贴（毕业五年内，本科以下学历500元/月，本科学历700元/月，研究生学历1000元/月，博士学历1500元/月，详情请查看济南市政府发布的相关租房补贴政策。）冠寓是龙湖集团推出的都市青年长租公寓品牌，致力于营造一个舒适、安全、便捷、社群、时尚的空间。打造一个以长租公寓为核心，生活服务多功能在内的多元化社区。1.房屋配套：独立的一室一卫，18-35平，含洗衣机冰箱鞋柜空调WIFI，知名家具家电配套齐全。2.超炫公区：免费使用健身房、台球厅、影音室、会客室、公共厨房餐厅，满足多种生活需求，营造健康积极的社交场所。3.多彩社群：每月至少2次社群活动，蹦床、K歌、爬山、轰趴、狼人杀谁是卧底剧本杀、龙虾宴、音乐节、真人CS、聚餐等等，活动不断，更亲密的邻里关系，更自在的志同道合，95后运营官带你体验精彩生活。4.服务：95后年轻运营官、保安、保洁、维修齐全，24H无缝隙守护租户生活。5.交通、车位：龙湖冠寓花园路门店位于花园路二环东路交叉口环联小商品市场东侧，公交便利，楼下就有停车场，停车方便。6.安全可靠：龙湖集团全国36所城市直营，品牌保障，冠寓有店长、运营官、龙湖物业24h无缝隙守护您的安全，且冠寓出入需要梯控、指纹识别、房间有智能密码锁、公共区域有摄像头监控，多维度保障您的的安全，让我们的每一位租户在冠寓都住的安心。7.周边配套：公寓自带自动售卖机、小电充电宝、农夫山泉、充电桩、公共洗衣机等，日常生活便捷。1公里内有印象城、银座、大润发、环联小商品市场、百花公园、中行农行建行工行、漱玉平民大药房等配套设施；3公里内有山大二院、中心医院等三甲医院。生活配套非常健全，能够解决租户一站式生活需求。8.智慧生活智能APP三重智能管理，安心舒心。自主研发“冠寓”APP，轻松实现掌上生活缴费（水电）、线上看房、智能门锁密码管理、故障报销、租约管理等智能化服务。
实图实价无中介！西市场 省立医院附近保利中心精装家具家电齐全,1室1厅1卫,整租,45,南,中层 / 28层,槐荫,保利中心,槐荫西市场 - 经一路333号,1899,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.无中介，个人房源，地理位置好2.实图实价，全新家具家电，拎包入住3.押一付一押一付三，半年付，年付都可以，多付优惠4.好房不多，有需要请电话联系
特价！特价！超大房间 采光特好 御华嘉苑 汇隆广场 汇源大厦,3室2厅2卫,合租 - 主卧,22,南,中层 / 12层,历城,御华嘉苑,历城七里河 - 华能路1号,550,距离地铁R3号线花园东路站1777米,"['热水器', '洗衣机', '冰箱', '宽带', '可做饭']","本人将为您提供专业、周全、可靠、安心的服务1、看房，只需您的一个电话，本人24手机不关机2、价格，我将会给您一个满意的答复3、选房，我将会是您的第二双眼睛4、保证，我们公司提供的合同是完整的5、保障，我们的售后服务是让您省心的。房源介绍：1、家电家具均有,直接，保证卫生干净、整洁。2、设备齐全，拎包即可入住3、适合情侣或居家，附近上班人员居住4、小区拥有物业管理停车比较方便5、周边有超市小吃店周边生活配套设施齐全完善6、也许观望等待许久的您在已厌倦看房的时候，突然发现此房后将是另一番想法7、您可以拨打我的电话，我将竭诚为您服务8、有关于房产类的问题，我将"
押一付一 华福国际壹号院 荣盛时代 大润发 精装单间 包网物,3室2厅2卫,合租 - 主卧,19,南,中层 / 30层,历城,华福国际壹号院,历城全福 - 北园大街47-2号,600,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",不是你没有遇到你称心如意的房子，而是没有遇到为你全力以赴的房产经纪人，选择我—-点击我的头像，进入我的店铺更多房源已为准备好房源描述：1、房屋清爽，采光很好！2、交通方便，临近地铁一号线紫庐站塘西河路3、小区周围有国购购物中心银行：各家银行都有营业部分布在小区四周。其他配备：网咖、鲜果吧、便利店、药店等。小区有专门物业部门和门卫让您有一个安全舒适的生活环境需要看房可以联系我约时间如若看不中也没关系，本人手上房源很多，可以提供更多的
特价三天小清河南路 将军路 黄台茶叶市场 荣盛时代 石墙单间,3室1厅1卫,合租 - 主卧,20,南,中层 / 35层,历城,荣盛时代首府,"历城全福 - 北园大街,近将军路辅路",600,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",以上价格为房间定金。我家的房子均以合租单间的形式出租，一户一门，一室一锁。为了生活，为了梦想，在繁多的工作，忙碌的奔波，一身疲惫之后，是否期待一个舒适的小窝？直租0省心省钱晨曦相伴晚霞入睡民用水电陪你度过炙热的夏天，温暖你度过寒冷的冬天。【没有中介】：我们坚持无中介，随时免费带你看房。【押一付一】：房租可灵活支付，月付，半年付，年付都可以。月付押一付一，房租无压力【家电齐全】：全新家具，品牌家电，冰箱，空调，洗衣机等应有尽有，洗澡做饭都很方便。【品质装修】：知名计师匠心打造时尚北欧风、现代简约风，美式田园风等多种风格公寓。【入住保洁】：入住前深度保洁，做到拎包就能入住。【免费维修】：家具家电及时上门维修，随时可预约。【交通便利】：房源紧邻地铁公交，方便出行。【周边设施】：各大商超、美食环绕其中，生活设施便利，吃喝玩乐，应有尽有。众多房源任你选择，只要你有租房需求，就欢迎来电，我会用心给您推荐适合您的房子。品质租房，从一个电话开始
首租 精装修 女生合租 家具齐全 随时看房 靠近华联夜市,3室2厅2卫,合租 - 主卧,25,南,高层 / 12层,历城,大地锐城,历城七里河 - 华能路38号,800,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",精装单间公寓~价位500-1500我们的宗旨：打造济南市*的高品质租住！我们的服务1、付款方式多样化：押一付一压一付二压一付三半年付年付2、公区厨房、卫生间、走廊，不定期免费保洁。3、管家服务:看房选房、签订合同、入住搬家、房间物品非人为损坏无偿维修。4丶随时看房。5丶水费电费都是正规居民用电用水费用标准，绝无乱收费现象。6丶家具齐全，随时拎包入住、周边环境好。7丶闹中取静（非常静谧的地方），居家环境温馨，生活配套设施完善！8丶交通便利，出小区门口就是公交站牌；9丶周边生活设施齐全，商场、超市、菜市场、银行、学校等应有尽有！
